Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123298;8123298;14k White Gold Three-Stone Stackable Diamond Ring;This stylish stackable diamond ring features a cluster of three bezel set round diamonds accented by pave set diamonds flowing down the band. Crafted with pride in USA. ;14k White Gold Three-Stone Stackable Diamond Ring;This stylish stackable diamond ring features a cluster of three bezel set round diamonds accented by pave set diamonds flowing down the band. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.9mm;14k White Gold ;Stuller;stackable;diamond;;;0.20ctw;G-H;SI2;$575,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123298;8123298;14k Yellow Gold Three-Stone Stackable Diamond Ring;This stylish stackable diamond ring features a cluster of three bezel set round diamonds accented by pave set diamonds flowing down the band. Crafted with pride in USA. ;14k Yellow Gold Three-Stone Stackable Diamond Ring;This stylish stackable diamond ring features a cluster of three bezel set round diamonds accented by pave set diamonds flowing down the band. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.9mm;14k Yellow Gold ;Stuller;stackable;diamond;;;0.20ctw;G-H;SI2;$575,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123298;8123298;14k Rose Gold Three-Stone Stackable Diamond Ring;This stylish stackable diamond ring features a cluster of three bezel set round diamonds accented by pave set diamonds flowing down the band. Crafted with pride in USA. ;14k Rose Gold Three-Stone Stackable Diamond Ring;This stylish stackable diamond ring features a cluster of three bezel set round diamonds accented by pave set diamonds flowing down the band. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.9mm;14k Rose Gold  ;Stuller;stackable;diamond;;;0.20ctw;G-H;SI2;$575,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123298;8123298;Platinum Three-Stone Stackable Diamond Ring;This stylish stackable diamond ring features a cluster of three bezel set round diamonds accented by pave set diamonds flowing down the band. Crafted with pride in USA. ;Platinum Three-Stone Stackable Diamond Ring;This stylish stackable diamond ring features a cluster of three bezel set round diamonds accented by pave set diamonds flowing down the band. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.9mm;Platinum ;Stuller;stackable;diamond;;;0.20ctw;G-H;SI2;$875,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123330;8123330;14k White Gold Hamsa Diamond Ring;Beautiful and stylish, this ring features a Hamsa design with a single diamond in the middle. Crafted with pride in USA.;14k White Gold Hamsa Diamond Ring;Beautiful and stylish, this ring features a Hamsa design with a single diamond in the middle. Crafted with pride in USA.;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;2mm;14k White Gold ;Stuller; ;diamond;;;0.03ctw;G-H;SI2;$395,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123330;8123330;14k Yellow Gold Hamsa Diamond Ring;Beautiful and stylish, this ring features a Hamsa design with a single diamond in the middle. Crafted with pride in USA.;14k Yellow Gold Hamsa Diamond Ring;Beautiful and stylish, this ring features a Hamsa design with a single diamond in the middle. Crafted with pride in USA.;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;2mm;14k Yellow Gold ;Stuller; ;diamond;;;0.03ctw;G-H;SI2;$395,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123330;8123330;14k Rose Gold Hamsa Diamond Ring;Beautiful and stylish, this ring features a Hamsa design with a single diamond in the middle. Crafted with pride in USA.;14k Rose Gold Hamsa Diamond Ring;Beautiful and stylish, this ring features a Hamsa design with a single diamond in the middle. Crafted with pride in USA.;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;2mm;14k Rose Gold  ;Stuller; ;diamond;;;0.03ctw;G-H;SI2;$395,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123330;8123330;Platinum Hamsa Diamond Ring;Beautiful and stylish, this ring features a Hamsa design with a single diamond in the middle. Crafted with pride in USA.;Platinum Hamsa Diamond Ring;Beautiful and stylish, this ring features a Hamsa design with a single diamond in the middle. Crafted with pride in USA.;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;2mm;Platinum ;Stuller; ;diamond;;;0.03ctw;G-H;SI2;$795,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651988;8651988;14k Yellow Gold Yellow Diamond Stackable Ring;Dainty and beautiful, this thin diamond stackable ring features yellow diamonds prong set flowing halfway around the ring. crafted with pride in USA. ;14k Yellow Gold Yellow Diamond Stackable Ring;Dainty and beautiful, this thin diamond stackable ring features yellow diamonds prong set flowing halfway around the ring. crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1mm;14k Yellow Gold ;Stuller;stackable;diamond;;;0.16ctw;Yellow;SI2;$750,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8652009;8652009;14k White Gold Milgrain Edge Diamond Stackable Ring;This lovely stackable diamond ring features pave set diamonds flowing halfway around with a delicate milgrain edge. Beautiful when worn alone or stacked with other rings. Crafted with pride in USA.  ;14k White Gold Milgrain Edge Diamond Stackable Ring;This lovely stackable diamond ring features pave set diamonds flowing halfway around with a delicate milgrain edge. Beautiful when worn alone or stacked with other rings. Crafted with pride in USA.  ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.8mm;14k White Gold ;Stuller;stackable;diamond;;;0.07ctw;G-H;SI2;$450,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
