Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
866233-15;866233-15;14k White Gold Three Prong Martini Diamond Studs 1/5 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;14k White Gold Three Prong Martini Diamond Studs 1/5 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Studs;;;2;.20 ctw;G-H;I1;$230,00 ;;;;
866233-15;866233-15;Platinum Three Prong Martini Diamond Studs 1/5 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Platinum Three Prong Martini Diamond Studs 1/5 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Studs;;;2;.20 ctw;G-H;I1;$330,00 ;;;;
866233-14;866233-14;14k White Gold Three Prong Martini Diamond Studs 1/4 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;14k White Gold Three Prong Martini Diamond Studs 1/4 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Studs;;;2;0.25 ctw;G-H;I1;$300 ;;;;
866233-14;866233-14;Platinum Three Prong Martini Diamond Studs 1/4 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Platinum Three Prong Martini Diamond Studs 1/4 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Studs;;;2;0.25 ctw;G-H;I1;$450 ;;;;
866229-13;866229-13;14k White Gold Three Prong Martini Diamond Studs 1/3 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;14k White Gold Three Prong Martini Diamond Studs 1/3 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Studs;;;2;0.33 ctw;G-H;I1;$350 ;;;;
866229-13;866229-13;Platinum Three Prong Martini Diamond Studs 1/3 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Platinum Three Prong Martini Diamond Studs 1/3 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Studs;;;2;0.33 ctw;G-H;I1;$550 ;;;;
866229-12;866229-12;14k White Gold Three Prong Martini Diamond Studs 1/2 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;14k White Gold Three Prong Martini Diamond Studs 1/2 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Studs;;;2;0.50 ctw;G-H;I1;$650 ;;;;
866229-12;866229-12;Platinum Three Prong Martini Diamond Studs 1/2 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Platinum Three Prong Martini Diamond Studs 1/2 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Studs;;;2;0.50 ctw;G-H;I1;$895 ;;;;
866229-34;866229-34;14k White Gold Three Prong Martini Diamond Studs 3/4 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;14k White Gold Three Prong Martini Diamond Studs 3/4 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Studs;;;2;0.75 ctw;G-H;I1;$1 200 ;;;;
866229-34;866229-34;Platinum Three Prong Martini Diamond Studs 3/4 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Platinum Three Prong Martini Diamond Studs 3/4 Carat ;Beautiful and classic, these three prong martini style diamond stud earrings feature a pair of matched near-colorless diamonds with a friction back. Crafted with pride in USA. ;Studs, diamond studs, diamond earrings, diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Studs;;;2;0.75 ctw;G-H;I1;$1 895 ;;;;
