Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
51013;51013;14k White Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;14k White Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold ;Overnight;Halo;Pave;;52;0.33 ctw;G-H;SI1-SI2;$1 575,00 ;;;;
51013;51013;14k Yellow Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;14k Yellow Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold ;Overnight;Halo;Pave;;52;0.33 ctw;G-H;SI1-SI2;$1 575,00 ;;;;
51013;51013;14k Rose Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;14k Rose Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Rose Gold ;Overnight;Halo;Pave;;52;0.33 ctw;G-H;SI1-SI2;$1 575,00 ;;;;
51013;51013;18k White Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;18k White Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k White Gold ;Overnight;Halo;Pave;;52;0.33 ctw;G-H;SI1-SI2;$1 850,00 ;;;;
51013;51013;18k Yellow Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;18k Yellow Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Yellow Gold ;Overnight;Halo;Pave;;52;0.33 ctw;G-H;SI1-SI2;$1 850,00 ;;;;
51013;51013;18k Rose Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;18k Rose Gold Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Rose Gold ;Overnight;Halo;Pave;;52;0.33 ctw;G-H;SI1-SI2;$1 850,00 ;;;;
51013;51013;Platinum Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;Platinum Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Platinum;Overnight;Halo;Pave;;52;0.33 ctw;G-H;SI1-SI2;$2 495,00 ;;;;
51013;51013;Palladium Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;Palladium Cushion Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a cushion shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Palladium;Overnight;Halo;Pave;;52;0.33 ctw;G-H;SI1-SI2;$1 550,00 ;;;;
51010;51010;14k White Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;14k White Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold ;Overnight;Halo;Pave;;56;0.33 ctw;G-H;SI1-SI2;$1 495,00 ;;;;
51010;51010;14k Yellow Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;14k Yellow Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold ;Overnight;Halo;Pave;;56;0.33 ctw;G-H;SI1-SI2;$1 495,00 ;;;;
51010;51010;14k Rose Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;14k Rose Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Rose Gold ;Overnight;Halo;Pave;;56;0.33 ctw;G-H;SI1-SI2;$1 495,00 ;;;;
51010;51010;18k White Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;18k White Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k White Gold ;Overnight;Halo;Pave;;56;0.33 ctw;G-H;SI1-SI2;$1 775,00 ;;;;
51010;51010;18k Yellow Gold Sqaure Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;18k Yellow Gold Sqaure Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Yellow Gold ;Overnight;Halo;Pave;;56;0.33 ctw;G-H;SI1-SI2;$1 775,00 ;;;;
51010;51010;18k Rose Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;18k Rose Gold Square Halo Diamond Engagement Ring ;This gorgeous diamond engagement ring features a square shaped halo with three rows of delicately set pave diamonds flowing down the band to beautifully highlight the square shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Rose Gold ;Overnight;Halo;Pave;;56;0.33 ctw;G-H;SI1-SI2;$1 775,00 ;;;;
