Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123176;8123176;14k White Gold Princess and Baguette Channel Set Wedding Ring ;Classic and sparkling, this channel set diamond wedding ring features alternating princess and baguette diamonds flowing halway around the ring. Crafted with pride in USA. ;14k White Gold Princess and Baguette Channel Set Wedding Ring ;Classic and sparkling, this channel set diamond wedding ring features alternating princess and baguette diamonds flowing halway around the ring. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;3 mm;14k White Gold;Stuller;stackable;diamond;;15;0.38 ctw;G-H;SI2;$995,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123176;8123176;14k Yellow Gold Princess and Baguette Channel Set Wedding Ring ;Classic and sparkling, this channel set diamond wedding ring features alternating princess and baguette diamonds flowing halway around the ring. Crafted with pride in USA. ;14k Yellow Gold Princess and Baguette Channel Set Wedding Ring ;Classic and sparkling, this channel set diamond wedding ring features alternating princess and baguette diamonds flowing halway around the ring. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;3 mm;14k Yellow Gold;Stuller;stackable;diamond;;15;0.38 ctw;G-H;SI2;$995,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123176;8123176;14k Rose Gold Princess and Baguette Channel Set Wedding Ring ;Classic and sparkling, this channel set diamond wedding ring features alternating princess and baguette diamonds flowing halway around the ring. Crafted with pride in USA. ;14k Rose Gold Princess and Baguette Channel Set Wedding Ring ;Classic and sparkling, this channel set diamond wedding ring features alternating princess and baguette diamonds flowing halway around the ring. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;3 mm;14k Rose Gold;Stuller;stackable;diamond;;15;0.38 ctw;G-H;SI2;$995,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8123176;8123176;Platinum Princess and Baguette Channel Set Wedding Ring ;Classic and sparkling, this channel set diamond wedding ring features alternating princess and baguette diamonds flowing halway around the ring. Crafted with pride in USA. ;Platinum Princess and Baguette Channel Set Wedding Ring ;Classic and sparkling, this channel set diamond wedding ring features alternating princess and baguette diamonds flowing halway around the ring. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;3 mm;Platinum;Stuller;stackable;diamond;;15;0.38 ctw;G-H;SI2;$1 395,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851734;851734;14k White Gold Twisted Stackable Ring;Classic and stylish, this plain metal ring features a single twist on the top of the ring. Crafted with pride in USA. ;14k White Gold Twisted Stackable Ring;Classic and stylish, this plain metal ring features a single twist on the top of the ring. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;3.1 mm;14k White Gold;Stuller;stackable;;;;;;;$250,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851734;851734;14k Yellow Gold Twisted Stackable Ring;Classic and stylish, this plain metal ring features a single twist on the top of the ring. Crafted with pride in USA. ;14k Yellow Gold Twisted Stackable Ring;Classic and stylish, this plain metal ring features a single twist on the top of the ring. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;3.1 mm;14k Yellow Gold;Stuller;stackable;;;;;;;$250,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851734;851734;14k Rose Gold Twisted Stackable Ring;Classic and stylish, this plain metal ring features a single twist on the top of the ring. Crafted with pride in USA. ;14k Rose Gold Twisted Stackable Ring;Classic and stylish, this plain metal ring features a single twist on the top of the ring. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;3.1 mm;14k Rose Gold;Stuller;stackable;;;;;;;$250,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851734;851734;Platinum Twisted Stackable Ring;Classic and stylish, this plain metal ring features a single twist on the top of the ring. Crafted with pride in USA. ;Platinum Twisted Stackable Ring;Classic and stylish, this plain metal ring features a single twist on the top of the ring. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;3.1 mm;Platinum;Stuller;stackable;;;;;;;$475,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851668;851668;14k White Gold Scalloped Stackable Ring;Delicate and stylish, this stackable ring features milgrain detailing with a scalloped design on one side. Beautiful when worn alone or stacked with other rings. Crafted with pride in USA. ;14k White Gold Scalloped Stackable Ring;Delicate and stylish, this stackable ring features milgrain detailing with a scalloped design on one side. Beautiful when worn alone or stacked with other rings. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;4 mm;14k White Gold;Stuller;stackable;;;;;;;$225,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851668;851668;14k Yellow Gold Scalloped Stackable Ring;Delicate and stylish, this stackable ring features milgrain detailing with a scalloped design on one side. Beautiful when worn alone or stacked with other rings. Crafted with pride in USA. ;14k Yellow Gold Scalloped Stackable Ring;Delicate and stylish, this stackable ring features milgrain detailing with a scalloped design on one side. Beautiful when worn alone or stacked with other rings. Crafted with pride in USA. ;bands,wedding bands,wedding rings,stackable rings,anniversary rings,eternity rings,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;4 mm;14k Yellow Gold;Stuller;stackable;;;;;;;$225,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
