Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651925;8651925;14k Rose Gold Diamond Bead Design Ring;This delicate ring features a bead design on the band with one single bezel set diamond in the center. Crafted with pride in USA. ;14k Rose Gold Diamond Bead Design Ring;This delicate ring features a bead design on the band with one single bezel set diamond in the center. Crafted with pride in USA. ;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.2mm;14K Rose Gold;Stuller;Diamond Rings;;;;0.03ctw;H/I;I1;$220,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651925;8651925;14k White Gold Diamond Bead Design Ring;This delicate ring features a bead design on the band with one single bezel set diamond in the center. Crafted with pride in USA. ;14k White Gold Diamond Bead Design Ring;This delicate ring features a bead design on the band with one single bezel set diamond in the center. Crafted with pride in USA. ;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.2mm;14K White Gold;Stuller;Diamond Rings;;;;0.03ctw;H/I;I1;$220,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651925;8651925;14k Yellow Gold Diamond Bead Design Ring;This delicate ring features a bead design on the band with one single bezel set diamond in the center. Crafted with pride in USA. ;14k Yellow Gold Diamond Bead Design Ring;This delicate ring features a bead design on the band with one single bezel set diamond in the center. Crafted with pride in USA. ;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.2mm;14K Yellow Gold;Stuller;Diamond Rings;;;;0.03ctw;H/I;I1;$220,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651923;8651923;14k Rose Gold Diamond Petite Cluster Square Ring;This petite diamond ring features a cluster of round pave set diamonds in a square shape. Crafted with pride in USA.;14k Rose Gold Diamond Petite Cluster Square Ring;This petite diamond ring features a cluster of round pave set diamonds in a square shape. Crafted with pride in USA.;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.7mm;14K Rose Gold;Stuller;Diamond Rings;;;;0.03ctw;H/I;I1;$225,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651923;8651923;14k White Gold Diamond Petite Cluster Square Ring;This petite diamond ring features a cluster of round pave set diamonds in a square shape. Crafted with pride in USA.;14k White Gold Diamond Petite Cluster Square Ring;This petite diamond ring features a cluster of round pave set diamonds in a square shape. Crafted with pride in USA.;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.7mm;14K White Gold;Stuller;Diamond Rings;;;;0.03ctw;H/I;I1;$225,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651923;8651923;14k Yellow Gold Diamond Petite Cluster Square Ring;This petite diamond ring features a cluster of round pave set diamonds in a square shape. Crafted with pride in USA.;14k Yellow Gold Diamond Petite Cluster Square Ring;This petite diamond ring features a cluster of round pave set diamonds in a square shape. Crafted with pride in USA.;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.7mm;14K Yellow Gold;Stuller;Diamond Rings;;;;0.03ctw;H/I;I1;$225,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651922;651922;14k Rose Gold Diamond Petite Circle Ring;This petite diamond ring features a round cluster of round pave set diamonds on a thin band. Crafted with pride in USA.;14k Rose Gold Diamond Petite Circle Ring;This petite diamond ring features a round cluster of round pave set diamonds on a thin band. Crafted with pride in USA.;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.7mm;14K Rose Gold;Stuller;Diamond Rings;;;;0.04ctw;H/I;I1;$250 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651922;651922;14k White Gold Diamond Petite Circle Ring;This petite diamond ring features a round cluster of round pave set diamonds on a thin band. Crafted with pride in USA.;14k White Gold Diamond Petite Circle Ring;This petite diamond ring features a round cluster of round pave set diamonds on a thin band. Crafted with pride in USA.;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.7mm;14K White Gold;Stuller;Diamond Rings;;;;0.04ctw;H/I;I1;$250 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651922;651922;14k Yellow Gold Diamond Petite Circle Ring;This petite diamond ring features a round cluster of round pave set diamonds on a thin band. Crafted with pride in USA.;14k Yellow Gold Diamond Petite Circle Ring;This petite diamond ring features a round cluster of round pave set diamonds on a thin band. Crafted with pride in USA.;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;1.7mm;14K Yellow Gold;Stuller;Diamond Rings;;;;0.04ctw;H/I;I1;$250 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8651088;8651088;14k Rose Gold Diamond Infinity-Style Ring;Beautiful and stylish, this diamond ring features an infinity sign decorated with sparkling pave set diamonds. Crafted with pride in USA. ;14k Rose Gold Diamond Infinity-Style Ring;Beautiful and stylish, this diamond ring features an infinity sign decorated with sparkling pave set diamonds. Crafted with pride in USA. ;bands,fashion jewelry,stackable rings,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;2.35mm;14K Rose Gold;Stuller;Diamond Rings;;;;0.12ctw;H/I;I1;$350 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
