Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
51062-E;51062-E;14k White Gold Double Row Pave  Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;14k White Gold Double Row Pave  Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold;Overnight;Pave;Vintage;;40;0.25 ctw;G-H;SI1-SI2;$1 150,00 ;;;;
51062-E;51062-E;14k Yellow Gold Double Row Pave  Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;14k Yellow Gold Double Row Pave  Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold ;Overnight;Pave;Vintage;;40;0.25 ctw;G-H;SI1-SI2;$1 150,00 ;;;;
51062-E;51062-E;14k Rose Gold Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;14k Rose Gold Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Rose Gold;Overnight;Pave;Vintage;;40;0.25 ctw;G-H;SI1-SI2;$1 150,00 ;;;;
51062-E;51062-E;18k White Gold Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;18k White Gold Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k White Gold;Overnight;Pave;Vintage;;40;0.25 ctw;G-H;SI1-SI2;$1 350,00 ;;;;
51062-E;51062-E;18k Yellow Gold Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;18k Yellow Gold Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Yellow Gold ;Overnight;Pave;Vintage;;40;0.25 ctw;G-H;SI1-SI2;$1 350,00 ;;;;
51062-E;51062-E;18k Rose Gold Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;18k Rose Gold Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Rose Gold;Overnight;Pave;Vintage;;40;0.25 ctw;G-H;SI1-SI2;$1 350,00 ;;;;
51062-E;51062-E;Platinum Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;Platinum Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Platinum;Overnight;Pave;Vintage;;40;0.25 ctw;G-H;SI1-SI2;$1 895,00 ;;;;
51062-E;51062-E;Palladium Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;Palladium Double Row Pave Diamond Engagement Ring;This stunning diamond engagement ring features two rows of pave set diamond with a delicate milgrain edge which shimmer from every angle and highlight the center stone of your choosing. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Palladium;Overnight;Pave;Vintage;;40;0.25 ctw;G-H;SI1-SI2;$1 125,00 ;;;;
84891-E;84891-E;14k White Gold Twisted Pave Diamond Engagement Ring;Stylish and breathtaking, this diamond engagement ring features pave set diamonds set along the twisted shank which leads up to the beautiful center stone of your choice. Crafted with pride in USA. ;14k White Gold Twisted Pave Diamond Engagement Ring;Stylish and breathtaking, this diamond engagement ring features pave set diamonds set along the twisted shank which leads up to the beautiful center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold;Overnight;Pave;Modern;;60;0.20 ctw;G-H;SI1-SI2;$1 350,00 ;;;;
84891-E;84891-E;14k Yellow Gold Twisted Pave Diamond Engagement Ring;Stylish and breathtaking, this diamond engagement ring features pave set diamonds set along the twisted shank which leads up to the beautiful center stone of your choice. Crafted with pride in USA. ;14k Yellow Gold Twisted Pave Diamond Engagement Ring;Stylish and breathtaking, this diamond engagement ring features pave set diamonds set along the twisted shank which leads up to the beautiful center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold ;Overnight;Pave;Modern;;60;0.20 ctw;G-H;SI1-SI2;$1 350,00 ;;;;
