Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price 
BHRL75M;BHRL75M;14K White Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;14K White Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;5mm;14k White Gold;Stuller;Classic;;;;;;;270
BHRL75M;BHRL75M;14K Yellow Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;14K Yellow Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;5mm;14k Yellow Gold;Stuller;Classic;;;;;;;270
BHRL75M;BHRL75M;14K Rose Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;14K Rose Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;5mm;14k Rose Gold;Stuller;Classic;;;;;;;270
BHRL75M;BHRL75M;18K White Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;18K White Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;5mm;18k White Gold;Stuller;Classic;;;;;;;450
BHRL75M;BHRL75M;18K Yellow Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;18K Yellow Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;5mm;18k Yellow Gold;Stuller;Classic;;;;;;;450
BHRL75M;BHRL75M;18K Rose Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;18K Rose Gold 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;5mm;18k Rose Gold;Stuller;Classic;;;;;;;450
BHRL75M;BHRL75M;Platinum 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;Platinum 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;5mm;Platinum ;Stuller;Classic;;;;;;;590
BHRL75M;BHRL75M;Palladium 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;Palladium 5mm Classic Wedding Ring;This classic 5mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;5mm;Palladium;Stuller;Classic;;;;;;;270
BHRL74M;BHRL74M;14K White Gold 4mm Classic Wedding Ring;This classic 4mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;14K White Gold 4mm Classic Wedding Ring;This classic 4mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;4mm;14k White Gold;Stuller;Classic;;;;;;;210
BHRL74M;BHRL74M;14K Yellow Gold 4mm Classic Wedding Ring;This classic 4mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;14K Yellow Gold 4mm Classic Wedding Ring;This classic 4mm wedding ring features a low profile and a lighter weight, providing excellent comfort for everyday wear. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;4mm;14k Yellow Gold;Stuller;Classic;;;;;;;210
