Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
8122848;8122848;14k White Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;14k White Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;14k White Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$995,00 ;;;;
8122848;8122848;14k Yellow Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;14k Yellow Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;14k Yellow Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$995,00 ;;;;
8122848;8122848;14k Rose Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;14k Rose Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;14k Rose Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$995,00 ;;;;
8122848;8122848;18k White Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;18k White Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;18k White Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$1 295,00 ;;;;
8122848;8122848;18k Yellow Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;18k Yellow Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;18k Yellow Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$1 295,00 ;;;;
8122848;8122848;18k Rose Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;18k Rose Gold Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;18k Rose Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$1 295,00 ;;;;
8122848;8122848;Platinum Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;Platinum Channel Set and Filigree Diamond Engagement Ring;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the round center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;Platinum;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$1 795,00 ;;;;
8122848OV;8122848OV;14k White Gold Channel Set and Filigree Diamond Engagement Ring For Oval Center;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the oval center stone of your choice. Crafted with pride in USA.;14k White Gold Channel Set and Filigree Diamond Engagement Ring For Oval Center;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the oval center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;14k White Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$995,00 ;;;;
8122848OV;8122848OV;14k Yellow Gold Channel Set and Filigree Diamond Engagement Ring For Oval Center;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the oval center stone of your choice. Crafted with pride in USA.;14k Yellow Gold Channel Set and Filigree Diamond Engagement Ring For Oval Center;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the oval center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;14k Yellow Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$995,00 ;;;;
8122848OV;8122848OV;14k Rose Gold Channel Set and Filigree Diamond Engagement Ring For Oval Center;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the oval center stone of your choice. Crafted with pride in USA.;14k Rose Gold Channel Set and Filigree Diamond Engagement Ring For Oval Center;Classic and beautiful, this channel set diamond engagement ring features round diamonds flowing halfway down the band with delicate filigree detailing on the sides to beautifully showcase the oval center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.8mm;14k Rose Gold ;Stuller;Channel Set;;;16;0.24 ctw;G-H;SI2;$995,00 ;;;;
