Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
50379-E;50379-E;14k White Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;14k White Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold ;Overnight;Channel Set;;;8;0.07 ctw;G-H;SI1-SI2;$595,00 ;;;;
50379-E;50379-E;14k Yellow Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;14k Yellow Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold ;Overnight;Channel Set;;;8;0.07 ctw;G-H;SI1-SI2;$595,00 ;;;;
50379-E;50379-E;14k Rose Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;14k Rose Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Rose Gold ;Overnight;Channel Set;;;8;0.07 ctw;G-H;SI1-SI2;$595,00 ;;;;
50379-E;50379-E;18k White Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;18k White Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k White Gold ;Overnight;Channel Set;;;8;0.07 ctw;G-H;SI1-SI2;$825,00 ;;;;
50379-E;50379-E;18k Yellow Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;18k Yellow Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Yellow Gold ;Overnight;Channel Set;;;8;0.07 ctw;G-H;SI1-SI2;$825,00 ;;;;
50379-E;50379-E;18k Rose Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;18k Rose Gold Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Rose Gold ;Overnight;Channel Set;;;8;0.07 ctw;G-H;SI1-SI2;$825,00 ;;;;
50379-E;50379-E;Platinum Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;Platinum Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Platinum;Overnight;Channel Set;;;8;0.07 ctw;G-H;SI1-SI2;$1 195,00 ;;;;
50379-E;50379-E;Palladium Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;Palladium Petite Channel Set Engagement Ring;This lovely diamond engagement ring features a row of four channel set round diamonds, flowing up to the center stone of your choice. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Palladium;Overnight;Channel Set;;;8;0.07 ctw;G-H;SI1-SI2;$575,00 ;;;;
51047-E;51047-E;14k White Gold Vintage Channel Set Diamond Engagement Ring;Elegant and traditional, this vintage inspired diamond engagement ring features round diamonds channel set flowing down the band with delicate filigree detailing along the sides to showcase your center stone with exceptional beauty. Crafted with pride in USA.;14k White Gold Vintage Channel Set Diamond Engagement Ring;Elegant and traditional, this vintage inspired diamond engagement ring features round diamonds channel set flowing down the band with delicate filigree detailing along the sides to showcase your center stone with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold ;Overnight;Channel Set;;;28;0.38 ctw;G-H;SI1-SI2;$1 495,00 ;;;;
51047-E;51047-E;14k Yellow Gold Vintage Channel Set Diamond Engagement Ring;Elegant and traditional, this vintage inspired diamond engagement ring features round diamonds channel set flowing down the band with delicate filigree detailing along the sides to showcase your center stone with exceptional beauty. Crafted with pride in USA.;14k Yellow Gold Vintage Channel Set Diamond Engagement Ring;Elegant and traditional, this vintage inspired diamond engagement ring features round diamonds channel set flowing down the band with delicate filigree detailing along the sides to showcase your center stone with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold ;Overnight;Channel Set;;;28;0.38 ctw;G-H;SI1-SI2;$1 495,00 ;;;;
