Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
8652145;8652145;"14k Rose Gold Diamond Circle Hinged Bangle 7"" Bracelet";This sparkling fashionable bracelet features two circles off pave set diamonds on a hinged bangle. Crafted with pride in USA. ;"14k Rose Gold Diamond Circle Hinged Bangle 7"" Bracelet";This sparkling fashionable bracelet features two circles off pave set diamonds on a hinged bangle. Crafted with pride in USA. ;;;;14K Rose Gold ;Stuller;Diamond Bracelets;;;22; 0.16ctw;G/H;I1;$1 050,00 ;;;;
8652145;8652145;"14k White Gold Diamond Circle Hinged Bangle 7"" Bracelet";This sparkling fashionable bracelet features two circles off pave set diamonds on a hinged bangle. Crafted with pride in USA. ;"14k White Gold Diamond Circle Hinged Bangle 7"" Bracelet";This sparkling fashionable bracelet features two circles off pave set diamonds on a hinged bangle. Crafted with pride in USA. ;;;;14K White Gold ;Stuller;Diamond Bracelets;;;22; 0.16ctw;G/H;I1;$1 050,00 ;;;;
8652145;8652145;"14k Yellow Gold Diamond Circle Hinged Bangle 7"" Bracelet";This sparkling fashionable bracelet features two circles off pave set diamonds on a hinged bangle. Crafted with pride in USA. ;"14k Yellow Gold Diamond Circle Hinged Bangle 7"" Bracelet";This sparkling fashionable bracelet features two circles off pave set diamonds on a hinged bangle. Crafted with pride in USA. ;;;;14K Yellow Gold;Stuller;Diamond Bracelets;;;22; 0.16ctw;G/H;I1;$1 050,00 ;;;;
8651857;8651857;14k Rose Gold Diamond Vertical Bar Cuff Bracelet;Stylish and sparkling, this cuff features two bars of pave set diamonds on a hinged bracelet. Crafted with pride in USA. ;14k Rose Gold Diamond Vertical Bar Cuff Bracelet;Stylish and sparkling, this cuff features two bars of pave set diamonds on a hinged bracelet. Crafted with pride in USA. ;;;;14K Rose Gold ;Stuller;Diamond Bracelets;;;16; 0.16ctw;G/H;I1;$1 095,00 ;;;;
8651857;8651857;14k White Gold Diamond Vertical Bar Cuff Bracelet;Stylish and sparkling, this cuff features two bars of pave set diamonds on a hinged bracelet. Crafted with pride in USA. ;14k White Gold Diamond Vertical Bar Cuff Bracelet;Stylish and sparkling, this cuff features two bars of pave set diamonds on a hinged bracelet. Crafted with pride in USA. ;;;;14K White Gold ;Stuller;Diamond Bracelets;;;16; 0.16ctw;G/H;I1;$1 095,00 ;;;;
8651857;8651857;14k Yellow Gold Diamond Vertical Bar Cuff Bracelet;Stylish and sparkling, this cuff features two bars of pave set diamonds on a hinged bracelet. Crafted with pride in USA. ;14k Yellow Gold Diamond Vertical Bar Cuff Bracelet;Stylish and sparkling, this cuff features two bars of pave set diamonds on a hinged bracelet. Crafted with pride in USA. ;;;;14K Yellow Gold;Stuller;Diamond Bracelets;;;16; 0.16ctw;G/H;I1;$1 095,00 ;;;;
867412;867412;"14k White Gold Diamond Tennis 7.25"" Bracelet ";Stunning and timeless, this diamond tennis bracelet features three carats of sparkling diamonds in a half bezel setting. Crafted with pride in USA. ;"14k White Gold Diamond Tennis 7.25"" Bracelet ";Stunning and timeless, this diamond tennis bracelet features three carats of sparkling diamonds in a half bezel setting. Crafted with pride in USA. ;;;;14K White Gold ;Stuller;Diamond Bracelets;;;63;3.00ctw;G/H;I1;$4 350 ;;;;
8651087;8651087;"14k Rose Gold Diamond Infinity-Style 8"" Bracelet";Beautiful and stylish, this fashion bracelet features an infinity symbol with dazzling pave set diamonds on an adjustable chain. Crafted with pride in USA.;"14k Rose Gold Diamond Infinity-Style 8"" Bracelet";Beautiful and stylish, this fashion bracelet features an infinity symbol with dazzling pave set diamonds on an adjustable chain. Crafted with pride in USA.;;;;14K Rose Gold ;Stuller;Diamond Bracelets;;;29;0.16ctw;G/H;I1;$420 ;;;;
8651087;8651087;"14k White Gold Diamond Infinity-Style 8"" Bracelet";Beautiful and stylish, this fashion bracelet features an infinity symbol with dazzling pave set diamonds on an adjustable chain. Crafted with pride in USA.;"14k White Gold Diamond Infinity-Style 8"" Bracelet";Beautiful and stylish, this fashion bracelet features an infinity symbol with dazzling pave set diamonds on an adjustable chain. Crafted with pride in USA.;;;;14K White Gold ;Stuller;Diamond Bracelets;;;29;0.16ctw;G/H;I1;$420 ;;;;
8651087;8651087;"14k Yellow Gold Diamond Infinity-Style 8"" Bracelet";Beautiful and stylish, this fashion bracelet features an infinity symbol with dazzling pave set diamonds on an adjustable chain. Crafted with pride in USA.;"14k Yellow Gold Diamond Infinity-Style 8"" Bracelet";Beautiful and stylish, this fashion bracelet features an infinity symbol with dazzling pave set diamonds on an adjustable chain. Crafted with pride in USA.;;;;14K Yellow Gold;Stuller;Diamond Bracelets;;;29;0.16ctw;G/H;I1;$420 ;;;;
868636;868636;"14k Rose Gold Diamond Heart 7"" Bracelet";This fashionable bracelet features a heart with sparkling pave set diamonds on an adjustable chain. Crafted with pride in USA. ;"14k Rose Gold Diamond Heart 7"" Bracelet";This fashionable bracelet features a heart with sparkling pave set diamonds on an adjustable chain. Crafted with pride in USA. ;;;;14K Rose Gold ;Stuller;Diamond Bracelets;;;18;0.06ctw;G/H;I1;$350 ;;;;
868636;868636;"14k White Gold Diamond Heart 7"" Bracelet";This fashionable bracelet features a heart with sparkling pave set diamonds on an adjustable chain. Crafted with pride in USA. ;"14k White Gold Diamond Heart 7"" Bracelet";This fashionable bracelet features a heart with sparkling pave set diamonds on an adjustable chain. Crafted with pride in USA. ;;;;14K White Gold ;Stuller;Diamond Bracelets;;;18;0.06ctw;G/H;I1;$350 ;;;;
868636;868636;"14k Yellow Gold Diamond Heart 7"" Bracelet";This fashionable bracelet features a heart with sparkling pave set diamonds on an adjustable chain. Crafted with pride in USA. ;"14k Yellow Gold Diamond Heart 7"" Bracelet";This fashionable bracelet features a heart with sparkling pave set diamonds on an adjustable chain. Crafted with pride in USA. ;;;;14K Yellow Gold;Stuller;Diamond Bracelets;;;18;0.06ctw;G/H;I1;$350 ;;;;
866937;866937;14k Rose Gold Diamond Bangle Bracelet;Brilliantly beautiful, this stackable diamond bracelet showcases a row of round diamonds on a hinged bangle. Crafted with pride in USA.;14k Rose Gold Diamond Bangle Bracelet;Brilliantly beautiful, this stackable diamond bracelet showcases a row of round diamonds on a hinged bangle. Crafted with pride in USA.;;;;14K Rose Gold ;Stuller;Diamond Bracelets;;;13;1.00ctw;G/H;I1;$2 950 ;;;;
866937;866937;14k White Gold Diamond Bangle Bracelet;Brilliantly beautiful, this stackable diamond bracelet showcases a row of round diamonds on a hinged bangle. Crafted with pride in USA.;14k White Gold Diamond Bangle Bracelet;Brilliantly beautiful, this stackable diamond bracelet showcases a row of round diamonds on a hinged bangle. Crafted with pride in USA.;;;;14K White Gold ;Stuller;Diamond Bracelets;;;13;1.00ctw;G/H;I1;$2 950 ;;;;
866937;866937;14k Yellow Gold Diamond Bangle Bracelet;Brilliantly beautiful, this stackable diamond bracelet showcases a row of round diamonds on a hinged bangle. Crafted with pride in USA.;14k Yellow Gold Diamond Bangle Bracelet;Brilliantly beautiful, this stackable diamond bracelet showcases a row of round diamonds on a hinged bangle. Crafted with pride in USA.;;;;14K Yellow Gold;Stuller;Diamond Bracelets;;;13;1.00ctw;G/H;I1;$2 950 ;;;;
864186;864186;14k White Gold Diamond Bangle Bracelet;Featuring a high polish finish, this bangle bracelet showcases a petite cluster of diamonds. Crafted with pride in USA. ;14k White Gold Diamond Bangle Bracelet;Featuring a high polish finish, this bangle bracelet showcases a petite cluster of diamonds. Crafted with pride in USA. ;;;;14K White Gold ;Stuller;Diamond Bracelets;;;4;0.03ctw;G/H;I1;$695 ;;;;
70434;70434;14k Rose Gold Vintage Diamond Bracelet ;Vintage style, this beautiful diamond bracelet  features round circles with milgrain showcasing petite round diamonds with a secure latch. Crafted with pride in USA. ;14k Rose Gold Vintage Diamond Bracelet ;Vintage style, this beautiful diamond bracelet  features round circles with milgrain showcasing petite round diamonds with a secure latch. Crafted with pride in USA. ;;;;14K Rose Gold ;Overnight;Diamond Bracelets;;;75;1.50ctw;H/I;I1;$3 500 ;;;;
