Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
886515;886515;14k White Gold Square Diamond Cluster Earrings;Delicate and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a square shape. Crafted with pride in USA. ;14k White Gold Square Diamond Cluster Earrings;Delicate and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a square shape. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;18;0.50 ctw;G-H;I1;$795,00 ;;;;
886515;886515;14k Yellow Gold Square Diamond Cluster Earrings;Delicate and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a square shape. Crafted with pride in USA. ;14k Yellow Gold Square Diamond Cluster Earrings;Delicate and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a square shape. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;18;0.50 ctw;G-H;I1;$795,00 ;;;;
886515;886515;14k Rose Gold Square Diamond Cluster Earrings;Delicate and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a square shape. Crafted with pride in USA. ;14k Rose Gold Square Diamond Cluster Earrings;Delicate and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a square shape. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Rose Gold;Stuller;Diamond Earrings;;;18;0.50 ctw;G-H;I1;$795,00 ;;;;
886515;886515;Platinum Square Diamond Cluster Earrings;Delicate and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a square shape. Crafted with pride in USA. ;Platinum Square Diamond Cluster Earrings;Delicate and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a square shape. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Earrings;;;18;0.50 ctw;G-H;I1;$1 195,00 ;;;;
886588;886588;14k White Gold Round Diamond Cluster Earrings;Classic and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a round shape. Crafted with pride in USA. ;14k White Gold Round Diamond Cluster Earrings;Classic and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a round shape. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;18;0.50 ctw;G-H;I1;$875,00 ;;;;
886588;886588;14k Yellow Gold Round Diamond Cluster Earrings;Classic and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a round shape. Crafted with pride in USA. ;14k Yellow Gold Round Diamond Cluster Earrings;Classic and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a round shape. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;18;0.50 ctw;G-H;I1;$875,00 ;;;;
886588;886588;14k Rose Gold Round Diamond Cluster Earrings;Classic and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a round shape. Crafted with pride in USA. ;14k Rose Gold Round Diamond Cluster Earrings;Classic and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a round shape. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Rose Gold;Stuller;Diamond Earrings;;;18;0.50 ctw;G-H;I1;$875,00 ;;;;
886588;886588;Platinum Round Diamond Cluster Earrings;Classic and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a round shape. Crafted with pride in USA. ;Platinum Round Diamond Cluster Earrings;Classic and dainty, these diamond cluster earrings feature a half of a carat of round diamonds set in a round shape. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Earrings;;;18;0.50 ctw;G-H;I1;$1 425,00 ;;;;
885912;885912;14k White Gold Diamond Halo-Style Earrings;Beautiful and stylish, these diamond earrings feature a round diamond with pave set diamonds surrounding the diamond. Crafted with pride in USA. ;14k White Gold Diamond Halo-Style Earrings;Beautiful and stylish, these diamond earrings feature a round diamond with pave set diamonds surrounding the diamond. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;30;0.25 ctw;G-H;I1;$550,00 ;;;;
885912;885912;14k Yellow Gold Diamond Halo-Style Earrings;Beautiful and stylish, these diamond earrings feature a round diamond with pave set diamonds surrounding the diamond. Crafted with pride in USA. ;14k Yellow Gold Diamond Halo-Style Earrings;Beautiful and stylish, these diamond earrings feature a round diamond with pave set diamonds surrounding the diamond. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;30;0.25 ctw;G-H;I1;$550,00 ;;;;
885912;885912;14k Rose Gold Diamond Halo-Style Earrings;Beautiful and stylish, these diamond earrings feature a round diamond with pave set diamonds surrounding the diamond. Crafted with pride in USA. ;14k Rose Gold Diamond Halo-Style Earrings;Beautiful and stylish, these diamond earrings feature a round diamond with pave set diamonds surrounding the diamond. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Rose Gold;Stuller;Diamond Earrings;;;30;0.25 ctw;G-H;I1;$550,00 ;;;;
886334;886334;14k White Gold Criss Cross Diamond Earrings;These stylish criss cross earrings feature one row of pave set diamonds overlapping a solid row. Crafted with pride in USA. ;14k White Gold Criss Cross Diamond Earrings;These stylish criss cross earrings feature one row of pave set diamonds overlapping a solid row. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;32;0.17 ctw;G-H;I1;$675,00 ;;;;
886334;886334;14k Yellow Gold Criss Cross Diamond Earrings;These stylish criss cross earrings feature one row of pave set diamonds overlapping a solid row. Crafted with pride in USA. ;14k Yellow Gold Criss Cross Diamond Earrings;These stylish criss cross earrings feature one row of pave set diamonds overlapping a solid row. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;32;0.17 ctw;G-H;I1;$675,00 ;;;;
