Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
8650183-3;8650183-3;14k White Gold Inside Out Diamond Hoops 3 Carat;Classic and beautiful, these diamond hoop earrings feature three carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;14k White Gold Inside Out Diamond Hoops 3 Carat;Classic and beautiful, these diamond hoop earrings feature three carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;60;3.00 ctw;H;I1;$4 050,00 ;;;;
8650183-3;8650183-3;14k Yellow Gold Inside Out Diamond Hoops 3 Carat;Classic and beautiful, these diamond hoop earrings feature three carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;14k Yellow Gold Inside Out Diamond Hoops 3 Carat;Classic and beautiful, these diamond hoop earrings feature three carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;60;3.00 ctw;H;I1;$4 050,00 ;;;;
8650183-3;8650183-3;14k Rose Gold Inside Out Diamond Hoops 3 Carat;Classic and beautiful, these diamond hoop earrings feature three carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;14k Rose Gold Inside Out Diamond Hoops 3 Carat;Classic and beautiful, these diamond hoop earrings feature three carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Rose Gold;Stuller;Diamond Earrings;;;60;3.00 ctw;H;I1;$4 350,00 ;;;;
8650183-3;8650183-3;Platinum Inside Out Diamond Hoops 3 Carat;Classic and beautiful, these diamond hoop earrings feature three carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Platinum Inside Out Diamond Hoops 3 Carat;Classic and beautiful, these diamond hoop earrings feature three carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Earrings;;;60;3.00 ctw;H;I1;$5 425,00 ;;;;
8650183-5;8650183-5;14k White Gold Inside Out Diamond Hoops 5 Carat;Classic and beautiful, these diamond hoop earrings feature five carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;14k White Gold Inside Out Diamond Hoops 5 Carat;Classic and beautiful, these diamond hoop earrings feature five carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;72;5.00 ctw;H;I1;$6 395,00 ;;;;
8650183-5;8650183-5;14k Yellow Gold Inside Out Diamond Hoops 5 Carat;Classic and beautiful, these diamond hoop earrings feature five carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;14k Yellow Gold Inside Out Diamond Hoops 5 Carat;Classic and beautiful, these diamond hoop earrings feature five carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;72;5.00 ctw;H;I1;$6 395,00 ;;;;
8650183-5;8650183-5;14k Rose Gold Inside Out Diamond Hoops 5 Carat;Classic and beautiful, these diamond hoop earrings feature five carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;14k Rose Gold Inside Out Diamond Hoops 5 Carat;Classic and beautiful, these diamond hoop earrings feature five carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Rose Gold;Stuller;Diamond Earrings;;;72;5.00 ctw;H;I1;$7 195,00 ;;;;
8650183-5;8650183-5;Platinum Inside Out Diamond Hoops 5 Carat;Classic and beautiful, these diamond hoop earrings feature five carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Platinum Inside Out Diamond Hoops 5 Carat;Classic and beautiful, these diamond hoop earrings feature five carats of round diamonds prong set throughout the hoop with a secure spring lock closure. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Earrings;;;72;5.00 ctw;H;I1;$8 250,00 ;;;;
861378-12;861378-12;14k White Gold Classic Inside Out Diamond Hoops 1/2 Carat;Traditional and brilliant, these diamond hoop earrings feature a half carat of round diamonds prong set throughout the hoop with a tension closure. Crafted with pride in USA.;14k White Gold Classic Inside Out Diamond Hoops 1/2 Carat;Traditional and brilliant, these diamond hoop earrings feature a half carat of round diamonds prong set throughout the hoop with a tension closure. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;50;0.50 ctw;H;I1;$1 150,00 ;;;;
861378-12;861378-12;14k Yellow Gold Classic Inside Out Diamond Hoops 1/2 Carat;Traditional and brilliant, these diamond hoop earrings feature a half carat of round diamonds prong set throughout the hoop with a tension closure. Crafted with pride in USA.;14k Yellow Gold Classic Inside Out Diamond Hoops 1/2 Carat;Traditional and brilliant, these diamond hoop earrings feature a half carat of round diamonds prong set throughout the hoop with a tension closure. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;50;0.50 ctw;H;I1;$1 150,00 ;;;;
