Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
8650183-14;8650183-14;14k White Gold Inside Out Diamond Hoops 1/4 Carat;Classic and beautiful, these diamond hoop earrings feature a quarter of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;14k White Gold Inside Out Diamond Hoops 1/4 Carat;Classic and beautiful, these diamond hoop earrings feature a quarter of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;;0.25 ctw;H;I1;$650,00 ;;;;
8650183-14;8650183-14;14k Yellow Gold Inside Out Diamond Hoops 1/4 Carat;Classic and beautiful, these diamond hoop earrings feature a quarter of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;14k Yellow Gold Inside Out Diamond Hoops 1/4 Carat;Classic and beautiful, these diamond hoop earrings feature a quarter of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;;0.25 ctw;H;I1;$650,00 ;;;;
8650183-14;8650183-14;14k Rose Gold Inside Out Diamond Hoops 1/4 Carat;Classic and beautiful, these diamond hoop earrings feature a quarter of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;14k Rose Gold Inside Out Diamond Hoops 1/4 Carat;Classic and beautiful, these diamond hoop earrings feature a quarter of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Rose Gold;Stuller;Diamond Earrings;;;;0.25 ctw;H;I1;$650,00 ;;;;
8650183-14;8650183-14;Platinum Inside Out Diamond Hoops 1/4 Carat;Classic and beautiful, these diamond hoop earrings feature a quarter of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Platinum Inside Out Diamond Hoops 1/4 Carat;Classic and beautiful, these diamond hoop earrings feature a quarter of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Earrings;;;;0.25 ctw;H;I1;$895,00 ;;;;
8650183-12;8650183-12;14k White Gold Inside Out Diamond Hoops 1/2 Carat;Classic and beautiful, these diamond hoop earrings feature half a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;14k White Gold Inside Out Diamond Hoops 1/2 Carat;Classic and beautiful, these diamond hoop earrings feature half a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;;0.50 ctw;H;I1;$975,00 ;;;;
8650183-12;8650183-12;14k Yellow Gold Inside Out Diamond Hoops 1/2 Carat;Classic and beautiful, these diamond hoop earrings feature half a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;14k Yellow Gold Inside Out Diamond Hoops 1/2 Carat;Classic and beautiful, these diamond hoop earrings feature half a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;;0.50 ctw;H;I1;$975,00 ;;;;
8650183-12;8650183-12;14k Rose Gold Inside Out Diamond Hoops 1/2 Carat;Classic and beautiful, these diamond hoop earrings feature half a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;14k Rose Gold Inside Out Diamond Hoops 1/2 Carat;Classic and beautiful, these diamond hoop earrings feature half a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Rose Gold;Stuller;Diamond Earrings;;;;0.50 ctw;H;I1;$975,00 ;;;;
8650183-12;8650183-12;Platinum Inside Out Diamond Hoops 1/2 Carat;Classic and beautiful, these diamond hoop earrings feature half a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Platinum Inside Out Diamond Hoops 1/2 Carat;Classic and beautiful, these diamond hoop earrings feature half a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;Platinum;Stuller;Diamond Earrings;;;;0.50 ctw;H;I1;$1 275,00 ;;;;
8650183-34;8650183-34;14k White Gold Inside Out Diamond Hoops 3/4 Carat;Classic and beautiful, these diamond hoop earrings feature three quarters of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;14k White Gold Inside Out Diamond Hoops 3/4 Carat;Classic and beautiful, these diamond hoop earrings feature three quarters of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k White Gold;Stuller;Diamond Earrings;;;;0.75 ctw;H;I1;$1 350,00 ;;;;
8650183-34;8650183-34;14k Yellow Gold Inside Out Diamond Hoops 3/4 Carat;Classic and beautiful, these diamond hoop earrings feature three quarters of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;14k Yellow Gold Inside Out Diamond Hoops 3/4 Carat;Classic and beautiful, these diamond hoop earrings feature three quarters of a carat of round diamonds prong set throughout the hoop. Crafted with pride in USA. ;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;;14k Yellow Gold;Stuller;Diamond Earrings;;;;0.75 ctw;H;I1;$1 350,00 ;;;;
