Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price 
50952-E;50952-E;14k White Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;14k White Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold ;Overnight;Halo;Modern;Pave;64;0.50 ctw;G-H;SI1-SI2;$1 895,00 
50952-E;50952-E;14k Yellow Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;14k Yellow Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold ;Overnight;Halo;Modern;Pave;64;0.50 ctw;G-H;SI1-SI2;$1 895,00 
50952-E;50952-E;14k Rose Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;14k Rose Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Rose Gold ;Overnight;Halo;Modern;Pave;64;0.50 ctw;G-H;SI1-SI2;$1 895,00 
50952-E;50952-E;18k White Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;18k White Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k White Gold ;Overnight;Halo;Modern;Pave;64;0.50 ctw;G-H;SI1-SI2;$2 150,00 
50952-E;50952-E;18k Yellow Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;18k Yellow Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Yellow Gold ;Overnight;Halo;Modern;Pave;64;0.50 ctw;G-H;SI1-SI2;$2 150,00 
50952-E;50952-E;18k Rose Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;18k Rose Gold Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Rose Gold ;Overnight;Halo;Modern;Pave;64;0.50 ctw;G-H;SI1-SI2;$2 150,00 
50952-E;50952-E;Platinum Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;Platinum Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Platinum;Overnight;Halo;Modern;Pave;64;0.50 ctw;G-H;SI1-SI2;$2 795,00 
50952-E;50952-E;Palladium Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;Palladium Double Cushion Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double cushion halo of pave set diamonds to accent the cushion shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Palladium;Overnight;Halo;Modern;Pave;64;0.50 ctw;G-H;SI1-SI2;$1 850,00 
50949-E;50949-E;14k White Gold Double Marquise Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double halo of pave set diamonds to accent the marquise shaped center stone of your choice. Crafted with pride in USA. ;14k White Gold Double Marquise Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double halo of pave set diamonds to accent the marquise shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold ;Overnight;Halo;Modern;Pave;68;0.50 ctw;G-H;SI1-SI2;$2 050,00 
50949-E;50949-E;14k Yellow Gold Double Marquise Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double halo of pave set diamonds to accent the marquise shaped center stone of your choice. Crafted with pride in USA. ;14k Yellow Gold Double Marquise Halo Engagement Ring ;Beautifully crafted, this diamond engagement ring features a split shank and double halo of pave set diamonds to accent the marquise shaped center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold ;Overnight;Halo;Modern;Pave;68;0.50 ctw;G-H;SI1-SI2;$2 050,00 
