Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832439;832439;14k White and Rose Gold Cushion Halo Pendant;This stunning halo style diamond pendant features a double halo with the inside halo in rose gold to beautifully accent the center stone of your choice on an 18 inch cable chain.;14k White and Rose Gold Cushion Halo Pendant;This stunning halo style diamond pendant features a double halo with the inside halo in rose gold to beautifully accent the center stone of your choice.;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;14k White Gold;Overnight;Diamond Pendant;;;40;0.33 ctw;H-I;SI2;$1 195,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832439;832439;18k White and Rose Gold Cushion Halo Pendant;This stunning halo style diamond pendant features a double halo with the inside halo in rose gold to beautifully accent the center stone of your choice on an 18 inch cable chain.;18k White and Rose Gold Cushion Halo Pendant;This stunning halo style diamond pendant features a double halo with the inside halo in rose gold to beautifully accent the center stone of your choice.;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;18k White Gold;Overnight;Diamond Pendant;;;40;0.33 ctw;H-I;SI2;$1 395,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832437;832437;14k White Gold Halo Pendant;This beautiful classic pendant features a halo of pave set diamonds surrounding the cushion shape center stone of your choosing on an 18 inch cable chain.  ;14k White Gold Halo Pendant;This beautiful classic pendant features a halo of pave set diamonds surrounding the cushion shape center stone of your choosing.  ;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;14k White Gold;Overnight;Diamond Pendant;;;24;0.20 ctw;H-I;SI2;$995,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832437;832437;18k White Gold Halo Pendant;This beautiful classic pendant features a halo of pave set diamonds surrounding the cushion shape center stone of your choosing on an 18 inch cable chain.  ;18k White Gold Halo Pendant;This beautiful classic pendant features a halo of pave set diamonds surrounding the cushion shape center stone of your choosing.  ;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;18k White Gold;Overnight;Diamond Pendant;;;24;0.20 ctw;H-I;SI2;$1 095,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832432;832432;14k White Gold Halo Pendant For Oval Shaped Stone;This elegant pendant features a halo of pave set diamonds surrounding the oval shape center stone of your choosing on an 18 inch cable chain.  ;14k White Gold Halo Pendant For Oval Shaped Stone;This elegant pendant features a halo of pave set diamonds surrounding the oval shape center stone of your choosing.  ;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;14k White Gold;Overnight;Diamond Pendant;;;22;0.20 ctw;H-I;SI2;$895,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832432;832432;18k White Gold Halo Pendant For Oval Shaped Stone;This elegant pendant features a halo of pave set diamonds surrounding the oval shape center stone of your choosing on an 18 inch cable chain.  ;18k White Gold Halo Pendant For Oval Shaped Stone;This elegant pendant features a halo of pave set diamonds surrounding the oval shape center stone of your choosing.  ;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;18k White Gold;Overnight;Diamond Pendant;;;22;0.20 ctw;H-I;SI2;$1 095,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832438;832438;14k White and Rose Gold Round Halo Pendant;This stunning halo style diamond pendant features a double halo with the inside halo in rose gold to beautifully accent the center stone of your choice on an 18 inch cable chain.;14k White and Rose Gold Round Halo Pendant;This stunning halo style diamond pendant features a double halo with the inside halo in rose gold to beautifully accent the center stone of your choice.;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;14k White Gold;Overnight;Diamond Pendant;;;34;0.25 ctw;H-I;SI2;$1 195,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832438;832438;18k White and Rose Gold Round Halo Pendant;This stunning halo style diamond pendant features a double halo with the inside halo in rose gold to beautifully accent the center stone of your choice on an 18 inch cable chain.;18k White and Rose Gold Round Halo Pendant;This stunning halo style diamond pendant features a double halo with the inside halo in rose gold to beautifully accent the center stone of your choice.;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;18k White Gold;Overnight;Diamond Pendant;;;34;0.25 ctw;H-I;SI2;$1 395,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832365;832365;14k White Gold Double Round Halo Pendant;Stylish and classic, this double halo pendant features prong set diamonds surrounding the round center stone of your choosing on an 18 inch cable chain. ;14k White Gold Double Round Halo Pendant;Stylish and classic, this double halo pendant features prong set diamonds surrounding the round center stone of your choosing. ;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;14k White Gold;Overnight;Diamond Pendant;;;42;0.88 ctw;H-I;SI2;$2 495,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832365;832365;18k White Gold Double Round Halo Pendant;Stylish and classic, this double halo pendant features prong set diamonds surrounding the round center stone of your choosing on an 18 inch cable chain. ;18k White Gold Double Round Halo Pendant;Stylish and classic, this double halo pendant features prong set diamonds surrounding the round center stone of your choosing. ;Diamond, diamond necklace, diamond pendant, diamond halo, halo pendant, halo necklace, 18k gold,gold,14k gold,platinum, jewelry, gift, birthday, anniversary, rose gold, white gold, yellow gold;;;18k White Gold;Overnight;Diamond Pendant;;;42;0.88 ctw;H-I;SI2;$2 750,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
