Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price 
83503-6-W;83503-6-W;14k White Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;14k White Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14k White Gold ;Overnight;Diamond ;;;19;0.17 ctw;G-H;SI1-SI2;$695,00 
83503-6-W;83503-6-W;14k Yellow Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;14k Yellow Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14k Yellow Gold ;Overnight;Diamond ;;;19;0.17 ctw;G-H;SI1-SI2;$695,00 
83503-6-W;83503-6-W;14k Rose Gold Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;14k Rose Gold Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14k Rose Gold ;Overnight;Diamond ;;;19;0.17 ctw;G-H;SI1-SI2;$695,00 
83503-6-W;83503-6-W;18k White Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;18k White Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;18k White Gold ;Overnight;Diamond ;;;19;0.17 ctw;G-H;SI1-SI2;$850,00 
83503-6-W;83503-6-W;18k Yellow Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;18k Yellow Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;18k Yellow Gold ;Overnight;Diamond ;;;19;0.17 ctw;G-H;SI1-SI2;$850,00 
83503-6-W;83503-6-W;18k Rose Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;18k Rose Gold Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;18k Rose Gold ;Overnight;Diamond ;;;19;0.17 ctw;G-H;SI1-SI2;$850,00 
83503-6-W;83503-6-W;Platinum Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;Platinum Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;Platinum;Overnight;Diamond ;;;19;0.17 ctw;G-H;SI1-SI2;$1 195,00 
83503-6-W;83503-6-W;Palladium Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;Palladium Curved Pave Diamond Wedding Band;This beautiful curved wedding band features pave set diamonds flowing halfway around the band and matches engagement ring style# 83503. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;Palladium;Overnight;Diamond ;;;19;0.17 ctw;G-H;SI1-SI2;$675,00 
50778-W;50778-W;14k White Gold Slightly Curved Matching Wedding Band;This elegant slightly curved wedding band features pave set diamonds along the top of the band and matched engagement ring style 50778-E perfectly. Crafted with pride in USA. ;14k White Gold Slightly Curved Matching Wedding Band;This elegant slightly curved wedding band features pave set diamonds along the top of the band and matched engagement ring style 50778-E perfectly. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14k White Gold ;Overnight;Diamond ;;;13;0.25 ctw;G-H;SI1-SI3;$850,00 
50778-W;50778-W;14k Yellow Gold Slightly Curved Matching Wedding Band;This elegant slightly curved wedding band features pave set diamonds along the top of the band and matched engagement ring style 50778-E perfectly. Crafted with pride in USA. ;14k Yellow Gold Slightly Curved Matching Wedding Band;This elegant slightly curved wedding band features pave set diamonds along the top of the band and matched engagement ring style 50778-E perfectly. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged, ;;;14k Yellow Gold ;Overnight;Diamond ;;;13;0.25 ctw;G-H;SI1-SI4;$850,00 
