Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price 
851716;851716;14k White Gold Patterned Wedding Ring;"Modern and unique, this wedding ring features a distinctive ""X"" pattern. Crafted with pride in USA.  ";14k White Gold Patterned Wedding Ring;"Modern and unique, this wedding ring features a distinctive ""X"" pattern. Crafted with pride in USA.  ";bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;7.35 mm;14k White Gold;Stuller;Modern;;;;;;;$850,00 
851716;851716;14k Yellow Gold Patterned Wedding Ring;"Modern and unique, this wedding ring features a distinctive ""X"" pattern. Crafted with pride in USA.  ";14k Yellow Gold Patterned Wedding Ring;"Modern and unique, this wedding ring features a distinctive ""X"" pattern. Crafted with pride in USA.  ";bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;7.35 mm;14k Yellow Gold ;Stuller;Modern;;;;;;;$850,00 
851716;851716;14k Rose Gold Patterned Wedding Ring;"Modern and unique, this wedding ring features a distinctive ""X"" pattern. Crafted with pride in USA.  ";14k Rose Gold Patterned Wedding Ring;"Modern and unique, this wedding ring features a distinctive ""X"" pattern. Crafted with pride in USA.  ";bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;7.35 mm;14k Rose Gold;Stuller;Modern;;;;;;;$850,00 
851716;851716;Platinum Patterned Wedding Ring;"Modern and unique, this wedding ring features a distinctive ""X"" pattern. Crafted with pride in USA.  ";Platinum Patterned Wedding Ring;"Modern and unique, this wedding ring features a distinctive ""X"" pattern. Crafted with pride in USA.  ";bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;7.35 mm;Platinum;Stuller;Modern;;;;;;;$1 550,00 
851542;851542;14k White Gold 6mm Comfort Fit Milgrain Hammered Band ;This attractive 6mm wedding band features a hammered finish center with milgrain detailing and high polish edge. Crafted with pride in USA.;14k White Gold 6mm Comfort Fit Milgrain Hammered Band ;This attractive 6mm wedding band features a hammered finish center with milgrain detailing and high polish edge. Crafted with pride in USA.;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;14k White Gold;Stuller;Modern;;;;;;;$850 
851542;851542;14k Yellow Gold 6mm Comfort Fit Milgrain Hammered Band ;This attractive 6mm wedding band features a hammered finish center with milgrain detailing and high polish edge. Crafted with pride in USA.;14k Yellow Gold 6mm Comfort Fit Milgrain Hammered Band ;This attractive 6mm wedding band features a hammered finish center with milgrain detailing and high polish edge. Crafted with pride in USA.;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;14k Yellow Gold ;Stuller;Modern;;;;;;;$850 
8122719;8122719;14k White Gold 6mm Double Milgrain Diamond Wedding Ring;This beautiful 6mm wedding band features a double milgrain edge with seven round diamonds channel set in the center of the band. Crafted with pride in USA. ;14k White Gold 6mm Double Milgrain Diamond Wedding Ring;This beautiful 6mm wedding band features a double milgrain edge with seven round diamonds channel set in the center of the band. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;14k White Gold;Stuller;Diamond;;;7;0.25 ctw;G-H;SI2;$1 150,00 
8122719;8122719;14k Yellow Gold 6mm Double Milgrain Diamond Wedding Ring;This beautiful 6mm wedding band features a double milgrain edge with seven round diamonds channel set in the center of the band. Crafted with pride in USA. ;14k Yellow Gold 6mm Double Milgrain Diamond Wedding Ring;This beautiful 6mm wedding band features a double milgrain edge with seven round diamonds channel set in the center of the band. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;14k Yellow Gold ;Stuller;Diamond;;;8;0.25 ctw;G-H;SI2;$1 150,00 
8122719;8122719;Platinum 6mm Double Milgrain Diamond Wedding Ring;This beautiful 6mm wedding band features a double milgrain edge with seven round diamonds channel set in the center of the band. Crafted with pride in USA. ;Platinum 6mm Double Milgrain Diamond Wedding Ring;This beautiful 6mm wedding band features a double milgrain edge with seven round diamonds channel set in the center of the band. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;Platinum;Stuller;Diamond;;;9;0.25 ctw;G-H;SI2;$2 495,00 
851529;851529;14k White Gold 6mm Hammered Band;This attractive 6mm rounded wedding band features a hammered finish. Crafted with pride in USA.;14k White Gold 6mm Hammered Band;This attractive 6mm rounded wedding band features a hammered finish. Crafted with pride in USA.;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;14k White Gold;Stuller;Modern;;;;;;;$595,00 
851529;851529;14k White Gold 6mm Hammered Band;This attractive 6mm rounded wedding band features a hammered finish. Crafted with pride in USA.;14k White Gold 6mm Hammered Band;This attractive 6mm rounded wedding band features a hammered finish. Crafted with pride in USA.;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;14k Yellow Gold ;Stuller;Modern;;;;;;;$595,00 
851530;851530;14k White Gold 6mm Hammered Flat Band;This attractive 6mm wedding band features a hammered finish and sits flat on the hand. Crafted with pride in USA.;14k White Gold 6mm Hammered Flat Band;This attractive 6mm wedding band features a hammered finish and sits flat on the hand. Crafted with pride in USA.;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;14k White Gold;Stuller;Modern;;;;;;;$595,00 
851530;851530;14k Yellow Gold 6mm Hammered Flat Band;This attractive 6mm wedding band features a hammered finish and sits flat on the hand. Crafted with pride in USA.;14k Yellow Gold 6mm Hammered Flat Band;This attractive 6mm wedding band features a hammered finish and sits flat on the hand. Crafted with pride in USA.;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6 mm;14k Yellow Gold ;Stuller;Modern;;;;;;;$595,00 
