Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price 
8SQR10;8SQR10;14k White Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;14k White Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;14k White Gold;Stuller;Modern;;;;;;;$595,00 
8SQR10;8SQR10;14k Yellow Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;14k Yellow Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;14k Yellow Gold;Stuller;Modern;;;;;;;$595,00 
8SQR10;8SQR10;14k Rose Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;14k Rose Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;14k Rose Gold;Stuller;Modern;;;;;;;$595,00 
8SQR10;8SQR10;18k White Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;18k White Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;18k White Gold ;Stuller;Modern;;;;;;;$750,00 
8SQR10;8SQR10;18k Yellow Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;18k Yellow Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;18k Yellow Gold;Stuller;Modern;;;;;;;$750,00 
8SQR10;8SQR10;18k Rose Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;18k Rose Gold Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;18k Rose Gold;Stuller;Modern;;;;;;;$750,00 
8SQR10;8SQR10;Platinum Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;Platinum Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;Platinum;Stuller;Modern;;;;;;;$1 295,00 
8SQR10;8SQR10;Palladium Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;Palladium Square Comfort Fit Wedding Ring;This traditional 6mm comfort fit wedding band features a squared shape with a high polish finish. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;Palladium;Stuller;Modern;;;;;;;$550,00 
851534;851534;14k White Gold 6mm Comfort Fit Hammered Wedding Ring;This attractive 6mm comfort fit wedding ring features a hammered finish in the center with a high polished edge. Crafted with pride in USA. ;14k White Gold 6mm Comfort Fit Hammered Wedding Ring;This attractive 6mm comfort fit wedding ring features a hammered finish in the center with a high polished edge. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;14k White Gold;Stuller;Modern;;;;;;;$895,00 
851534;851534;14k Yellow Gold 6mm Comfort Fit Hammered Wedding Ring;This attractive 6mm comfort fit wedding ring features a hammered finish in the center with a high polished edge. Crafted with pride in USA. ;14k Yellow Gold 6mm Comfort Fit Hammered Wedding Ring;This attractive 6mm comfort fit wedding ring features a hammered finish in the center with a high polished edge. Crafted with pride in USA. ;bands,wedding bands,anniversary bands,eternity bands,plain bands,diamond bands,diamond,diamonds ,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,excellent cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;6mm;14k Yellow Gold;Stuller;Modern;;;;;;;$895,00 
