Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
51050-E;51050-E;14k White Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;14k White Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold;Overnight;Halo;Vintage;;24;0.88 ctw;G-H;SI1-SI2;$2 250,00 ;;;;
51050-E;51050-E;14k Yellow Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;14k Yellow Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold;Overnight;Halo;Vintage;;24;0.88 ctw;G-H;SI1-SI2;$2 250,00 ;;;;
51050-E;51050-E;14k Rose Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;14k Rose Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Rose Gold;Overnight;Halo;Vintage;;24;0.88 ctw;G-H;SI1-SI2;$2 250,00 ;;;;
51050-E;51050-E;18k White Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;18k White Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k White Gold;Overnight;Halo;Vintage;;24;0.88 ctw;G-H;SI1-SI2;$2 595,00 ;;;;
51050-E;51050-E;18k Yellow Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;18k Yellow Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Yellow Gold;Overnight;Halo;Vintage;;24;0.88 ctw;G-H;SI1-SI2;$2 595,00 ;;;;
51050-E;51050-E;18k Rose Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;18k Rose Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Rose Gold;Overnight;Halo;Vintage;;24;0.88 ctw;G-H;SI1-SI2;$2 595,00 ;;;;
51050-E;51050-E;Platinum Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;Platinum Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Platinum;Overnight;Halo;Vintage;;24;0.88 ctw;G-H;SI1-SI2;$3 250,00 ;;;;
51050-E;51050-E;Palladium Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;Palladium Gold Vintage Halo Diamond Engagement Ring;This elegant and timeless diamond engagement ring features a cushion shaped halo of prong set diamonds with round diamonds flowing halfway down the band. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Palladium;Overnight;Halo;Vintage;;24;0.88 ctw;G-H;SI1-SI2;$2 225,00 ;;;;
51032-E;51032-E;14k White Gold Modern Bypass Engagement Ring;This modern engagement ring features a bypass design with pave set diamonds on one side of the center stone. ;14k White Gold Modern Bypass Engagement Ring;This modern engagement ring features a bypass design with pave set diamonds on one side of the center stone. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold;Overnight;Modern;;;13;0.10 ctw;G-H;SI1-SI2;$950,00 ;;;;
51032-E;51032-E;14k Yellow Gold Modern Bypass Engagement Ring;This modern engagement ring features a bypass design with pave set diamonds on one side of the center stone. ;14k Yellow Gold Modern Bypass Engagement Ring;This modern engagement ring features a bypass design with pave set diamonds on one side of the center stone. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold;Overnight;Modern;;;13;0.10 ctw;G-H;SI1-SI2;$950,00 ;;;;
