Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
8122047;8122047;14k White Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;14k White Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.4mm;14k White Gold;Stuller;Solitaire;;;;;;;$330,00 ;;;;
8122047;8122047;14k Yellow Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;14k Yellow Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.4mm;14k Yellow Gold;Stuller;Solitaire;;;;;;;$330,00 ;;;;
8122047;8122047;14k Rose Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;14k Rose Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.4mm;14k Rose Gold;Stuller;Solitaire;;;;;;;$330,00 ;;;;
8122047;8122047;18k White Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;18k White Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.4mm;18k White Gold;Stuller;Solitaire;;;;;;;$490,00 ;;;;
8122047;8122047;18k Yellow Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;18k Yellow Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.4mm;18k Yellow Gold;Stuller;Solitaire;;;;;;;$490,00 ;;;;
8122047;8122047;18k Rose Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;18k Rose Gold Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.4mm;18k Rose Gold;Stuller;Solitaire;;;;;;;$490,00 ;;;;
8122047;8122047;Platinum Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;Platinum Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.4mm;Platinum;Stuller;Solitaire;;;;;;;$785,00 ;;;;
8122047;8122047;Palladium Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;Palladium Cathedral Solitaire Engagement Ring;This stunning solitaire engagement ring features a cathedral style head to beautifully showcase the center stone of your choice. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.4mm;Palladium;Stuller;Solitaire;;;;;;;$295 ;;;;
8140309L;8140309L;14k White Gold Classic Six Prong Solitaire;Traditional and elegant, this beautiful six prong solitaire engagement ring will let the center stone of your choice truly shine. Crafted with pride in USA. ;14k White Gold Classic Six Prong Solitaire;Traditional and elegant, this beautiful six prong solitaire engagement ring will let the center stone of your choice truly shine. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.3mm;14k White Gold;Stuller;Solitaire;;;;;;;$200,00 ;;;;
8140309L;8140309L;14k Yellow Gold Classic Six Prong Solitaire;Traditional and elegant, this beautiful six prong solitaire engagement ring will let the center stone of your choice truly shine. Crafted with pride in USA. ;14k Yellow Gold Classic Six Prong Solitaire;Traditional and elegant, this beautiful six prong solitaire engagement ring will let the center stone of your choice truly shine. Crafted with pride in USA. ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;2.3mm;14k Yellow Gold;Stuller;Solitaire;;;;;;;$200,00 ;;;;
