Supplier ID,Stone Type,Shape,Carat Weight,Primary Color,Price per Carat,Stock #,Color System,Stone Image,Certificate Image,Additional Image,Dimensions,Availability,Origin,Description,Treatment Notes,Lab,Certificate ID
,SA,STB,5.38,BLU,235.00,SBL4020,,,,,,,,STB Sapphire Gem,H,,sbl4020
,SA,STB,5.15,BLU,155.00,SBL3020,,,,,,,,STB Sapphire Gem,H,,sbl3020
,SA,STB,14.92,BLU,155.00,SBL3520,,,,,,,,STB Sapphire Gem,H,,sbl3520
,SA,STB,33.59,BLU,75.00,SBL2030,,,,,,,,STB Sapphire Gem,H,,sbl2030
,SA,STB,7.76,BLU,185.00,SBL4623,,,,,,,,STB Sapphire Gem,H,,sbl4623
,RU,STB,4.67,RED,175.00,RBL4200,,,,,,,,STB Ruby Gem,H,,rbl4200
,RU,RD,60.01,RED,200.00,RRL4000,,,,,,,,RD Ruby Gem,H,,rrl4000
,RU,TR,48.39,RED,550.00,RTL3754,,,,,,,,TR Ruby Gem,H,,rtl3754
,EM,MIX,14.45,GRN,285.00,EXL5070,,,,,,,,MIX Emerald Gem,O,,exl5070
,SA,OV,62.02,BLU,85.00,SVL5400,,,,,,,,OV Sapphire Gem,H,,svl5400
,SA,STB,0.65,BLU,275.00,SBL5055,,,,,,,,STB Sapphire Gem,H,,sbl5055
,RU,RD,36.10,RED,350.00,RRL5059,,,,,,,,RD Ruby Gem,H,,rrl5059
,SA,RD,66.28,BLU,375.00,SRL5056,,,,,,,,RD Sapphire Gem,H,,srl5056
,SA,CU,61.78,BLU,150.00,SMC1500,,,,,,,,CSHN Sapphire Gem,H,,smc1500
,RU,RD,0.88,RED,650.00,RR08800,,rr08800.jpg,,,5.30|5.30|3.60,,,RD Ruby Gem 5.3MM,H,,rrl5059
,RU,RD,0.89,RED,625.00,RR08900,,rr08900.jpg,,,5.50|5.50|3.40,,,RD Ruby Gem 5.5MM,H,,rrl5059
,SA,OV,0.95,BLU,350.00,SV0940,,SV0940.jpg,,,6.40|4.70|3.40,,,OV Sapphire Gem. 6.4-4.7,H,,sv0940
,SA,OV,0.97,BLU,480.00,SV0961,,sv0961.jpg,,,6.30|5.00|3.40,,,OV Sapphire Gem. 6.3-5.0,H,,sv0961
,YS,PS,0.98,Yellow,185.00,YP09800,,yp09800.jpg,,,7.00|5.00|3.60,,,PS Y. Sapphire Gem 7.0X5.0X3.6,E,,smc1000
,SA,MIX,20.92,,185.00,SMC2500,,,,,,,, Sapphire Gem,H,,smc2500
,RU,OV,1.02,RED,1675.00,RV1020,,RV1020.jpg,,,7.00|5.10|3.00,,,OV Ruby Gem. 7.0-5.1,H,,rv1020
,PS,PS,1.03,PNK,350.00,PP1030,,PP1030.jpg,,,,,,PS P. Sapphire Gem. 7.4-5.2,E,,pp1030
,EM,OV,13.73,GRN,385.00,EXL0400,,,,,,,,MIX Emerald Gem,O,,exl0400
,SA,OV,1.09,BLU,350.00,SV1081,,sv1081.jpg,,,6.30|5.00|3.80,,,OV Sapphire Gem. 6.3-5.0,H,,sv1081
,SA,OV,1.10,BLU,350.00,SV1100,,sv1100.jpg,,,6.30|5.20|3.80,,,OV Sapphire Gem. 6.3-5.2,H,,sv1100
,SA,OV,1.11,BLU,480.00,SV1111,,sv1111.jpg,,,6.30|5.10|3.60,,,OV Sapphire Gem. 6.3-5.1,H,,sv1111
,SA,OV,1.39,BLU,285.00,SV1390,,sv1390.jpg,,,7.70|5.30|3.50,,,OV Sapphire Gem. 7.7-5.3,H,,sv1390
,PS,EC,1.43,PNK,375.00,PE14300,,pe14300.jpg,,,6.10|5.30|4.00,,,EC P.Sapphire  6.1X5.3,E,,smc1500
,SA,OV,1.46,BLU,450.00,SV1462,,sv1462.jpg,,,7.00|5.00|4.50,,,OV Sapphire Gem. 7.0-5.0,H,,sv1480
,SA,OV,1.79,BLU,385.00,SV1790,,SV1790.jpg,,,7.50|6.30|4.50,,,OV Sapphire Gem. 7.5-6.3,H,,sv1790
,SA,OV,0.65,BLU,185.00,SV0650,,sv0650.jpg,,,6.10|4.20|3.00,,,OV Sapphire Gem 6.10x4.20,H,,ov0650
,RU,OV,0.92,RED,675.00,RV0920,,RV0920.jpg,,,6.50|4.90|3.20,,,OV Ruby Gem 6.50x4.90,H,,rv0920
,RU,OV,0.76,RED,600.00,RV0760,,RV0760.jpg,,,7.00|5.10|2.40,,,OV Ruby Gem 7.00x5.10,H,,rv0760
,,,1.00,,0.00,CREDIT RETURN,,,,,,,,CREDIT RETURN,,,
,EM,RD,0.35,GRN,475.00,XER3903,,XER3903.jpg,,,3.90|3.90,,,RD Emerald Pair Gem. 3.9,O,,xer3903
,EM,RD,0.44,GRN,450.00,XER4003,,XER4003.jpg,,,4.00|4.00,,,RD Emerald Pair Gem. 350.0,O,,xer4003
,EM,RD,0.44,GRN,475.00,XER4004,,XER4004.jpg,,,4.00|4.00,,,RD Emerald Pair Gem. 4.0,O,,xer4004
,EM,RD,0.43,GRN,450.00,XER4005,,XER4005.jpg,,,4.00|4.00,,,RD Emerald Pair Gem. 4.0,O,,xer4005
,EM,RD,0.45,GRN,650.00,XER3901,,XER3901.jpg,,,3.90|3.90,,,RD Emerald Pair Gem. 3.9,O,,xer3901
,EM,RD,0.48,GRN,750.00,XER4007,,XER4007.jpg,,,4.00|4.00,,,RD Emerald Pair Gem. 4.0,O,,xer4007
,EM,PR,0.47,GRN,750.00,XEPR4000,,,,,4.00|4.00|2.50,,,Emerald. PR. Green 4.0MM,O,,
,EM,RD,0.50,GRN,450.00,XER4104,,XER4104.jpg,,,4.10|4.10,,,RD Emerald Pair Gem. 4.1,O,,xer4104
,EM,RD,0.49,GRN,385.00,XER4106,,XER4106.jpg,,,4.10|4.10,,,RD Emerald Pair Gem. 4.1,O,,xer4106
,EM,RD,0.49,GRN,575.00,XER4108,,XER4108.jpg,,,4.10|4.10,,,RD Emerald Pair Gem. 4.1,O,,xer4108
,EM,RD,0.52,GRN,385.00,XER4008,,XER4008.jpg,,,4.00|4.00,,,RD Emerald Pair Gem. 4.0,O,,xer4008
,EM,PS,0.52,GRN,750.00,XEP5400,,xep5400.jpg,,,5.00|4.00|2.60,,,Emerald. PS. Green 5X4,O,,
,EM,RD,0.54,GRN,450.00,XER4206,,XER4206.jpg,,,4.20|4.20,,,RD Emerald Pair Gem. 4.2,O,,xer4206
,EM,RD,0.55,GRN,575.00,XER4203,,XER4203.jpg,,,4.20|4.20,,,RD Emerald Pair Gem. 4.2,O,,xer4203
,EM,RD,0.56,GRN,450.00,XER4207,,XER4207.jpg,,,4.20|4.20,,,RD Emerald Pair Gem. 4.2,O,,xer4207
,EM,PR,0.55,GRN,750.00,XEPR4001,,xepr4001.jpg,,,4.00|4.00|2.60,,,Emerald. PR. Green 4.0MM,O,,
,EM,PR,0.56,GRN,850.00,XEPR4003,,xepr4003.jpg,,,4.00|4.00|2.90,,,Emerald. PR. Green 4.0X4.0,O,,
,EM,RD,0.57,GRN,475.00,XER4506,,xer4506.jpg,,,4.50|4.50|2.80,,,Emerald. Round. Green 4.5MM,O,,
,EM,PR,0.57,GRN,850.00,XEPR4004,,xepr4004.jpg,,,4.00|4.00|2.90,,,Emerald. PR. Green 4.0X4.0,O,,
,RU,RD,0.59,RED,350.00,XRR0590,,xrr0590.jpg,,,4.00|4.00|2.40,,,Ruby. Round. Red 4.0MM,H,,
,EM,RD,0.61,GRN,525.00,XER4107,,XER4107.jpg,,,4.10|4.10,,,RD Emerald Pair Gem. 4.1,O,,xer4107
,RU,RD,0.62,RED,235.00,XRR0620,,xrr0620.jpg,,,3.80|3.80|2.80,,,Ruby. Round. Red 3.8MM,H,,
,SA,FY,0.33,BLU,450.00,SF0330,,,,,7.10|3.50|2.30,,,Fancy Sapphire Pair,H,,sf0330
,EM,RD,0.65,GRN,750.00,XER4806,,,,,4.80|4.80|2.80,,,Emerald. Round. Green 4.8MM,O,,
,EM,RD,0.67,GRN,526.00,XER4308,,XER4308.jpg,,,4.30|4.30,,,RD Emerald Pair Gem. 4.3,O,,xer4308
,RU,RD,0.70,RED,675.00,XRR4300,,XRR4300.jpg,,,4.30|4.30,,,RD Ruby Pair Gem. 4.3,H,,xrr4300
,SA,FY,0.70,BLU,450.00,XSF5828,,,,,5.80|2.80,,,Fancy Sapphire Pair,H,,xsf5828
,EM,RD,0.70,GRN,685.00,XER4804,,,,,4.80|4.80,,,RD Emerald Pair Gem 4.80x4.80,O,,
,RU,RD,0.70,RED,375.00,XRR0700,,xrr0700.jpg,,,4.00|4.00|2.50,,,Ruby. Round. Red 4.0MM,H,,
,SA,FY,0.71,BLU,450.00,XSF5829,,,,,5.80|2.80,,,Fancy Sapphire Pair,H,,xsf5829
,EM,RD,0.74,GRN,525.00,XER4306,,XER4306.jpg,,,4.30|4.30,,,RD Emerald Pair Gem. 4.3,O,,xer4306
,EM,RD,0.75,GRN,450.00,XER4501,,XER4501.jpg,,,4.50|4.50,,,RD Emerald Pair Gem. 4.5,O,,xer4501
,PS,RD,0.75,PNK,250.00,XPR4100,,xrp4100.jpg,,,4.10|4.10|2.70,,,P. Sapphire. Round 4.1MM pair,,,
,EM,RD,0.39,GRN,850.00,ER03900,,er03900.jpg,,,4.90|4.90|3.00,,,Emerald. Round. 4.9MM,O,,
,PS,RD,0.78,PNK,250.00,XPR4545,,xrp4545.jpg,,,4.50|4.50|2.40,,,P. Sapphire. Round. Pink 4.5MM,,,
,EM,RD,0.79,GRN,975.00,XER4802,,XER4802.jpg,,,4.80|4.80,,,RD Emerald Gem 4.80,O,,xer4802
,EM,RD,0.81,GRN,975.00,XER4704,,XER4704.jpg,,,4.70|4.70,,,Round Emerald pair,O,,xer4704
,EM,RD,0.42,GRN,1350.00,ER04200,,er04200.jpg,,,4.70|4.70|3.40,,,Emerald. Round. Green 4.7MM,O,,
,RU,RD,0.85,RED,375.00,XRR4501,,xrr4501.jpg,,,4.50|4.50|2.60,,,Ruby. Round. Red 4.5MM,H,,
,RU,PC,0.87,RED,550.00,XRPC087,,,,,4.00|4.00|2.60,,,Ruby. PC. Red 4.0MM,H,,
,EM,RD,0.90,GRN,600.00,XER5107,,,,,5.10|5.10|3.00,,,Emerald. Round. Green 5.1MM,O,,
,EM,RD,0.92,GRN,975.00,XER4703,,XER4703.jpg,,,4.70|4.70,,,Round Emerald pair,O,,xer4703
,RU,RD,0.92,RED,375.00,XRR4500,,XRR4500.jpg,,,4.50|4.50|2.70,,,Ruby. Round. Red 4.5MM,H,,
,RU,RD,0.94,RED,450.00,XRR4600,,XRR4600.jpg,,,4.60|4.60,,,RD Ruby Pair Gem. 4.6,H,,xrr4600
,EM,RD,0.95,GRN,750.00,XER5204,,,,,5.20|5.20,,,RD Emerald Pair Gem 5.20x5.20,O,,
,EM,RD,0.48,GRN,850.00,ER04801,,er04801.jpg,,,4.90|4.90|3.20,,,Emerald. Round. Green 4.9MM,O,,
,EM,RD,0.48,GRN,850.00,ER04800,,er04800.jpg,,,5.20|5.20|3.50,,,Emerald. Round. Green 5.2MM,O,,
,SA,RD,0.96,BLU,350.00,XSR4404,,xsr4404.jpg,,,4.40|4.40|3.00,,,Sapphire. Round. Blue 4.4MM,H,,
,RU,RD,0.97,RED,525.00,XRR4801,,XRR4801.jpg,,,4.80|4.80,,,RD Ruby Pair Gem. 4.8,H,,xrr4801
,RU,RD,0.98,RED,400.00,XRR4707,,XRR4707.jpg,,,4.70|4.70|2.80,,,Ruby. Round. Red 4.7MM,H,,
,RU,PS,0.98,RED,425.00,XRP5742,,XRP5742.jpg,,,5.70|4.20|2.80,,,Ruby. PS. Red 5.7X4.2,H,,
,RU,RD,1.00,RED,475.00,XRR5004,,XRR5004.jpg,,,5.00|5.00|2.90,,,Ruby. Round. Red 4.9MM,H,,
,PS,HS,0.51,PNK,385.00,PH05100,,,,,4.80|5.50|2.70,,,P. Sapphire. Heart Shape. 4.8X5.5,H,,
,RU,OV,1.03,RED,450.00,XRV6044,,XRV6044.jpg,,,6.00|4.00,,,OV Ruby Pair Gem. 6.0-4.0,H,,xrv6044
,EM,RD,0.52,GRN,575.00,ER0520,,ER0520.jpg,,,5.30|5.30|3.30,,,RD Emerald Gem. 5.3,O,,er0520
,EM,OV,1.04,GRN,750.00,XEO6242,,XEO6242.jpg,,,6.20|4.20,,,OV Emerald Pair Gem 6.20x4.20,O,,xeo6242
,EM,EC,0.52,GRN,750.00,EE0520,,EE0520.jpg,,,6.10|4.00|2.90,,,EC Emerald Gem 6.1X4.0,O,,exl0400
,EM,OV,0.53,GRN,875.00,EV0530,,EV0530.jpg,,,6.80|4.90|2.80,,,OV Emerald Gem 6.8x4.9,O,,
,EM,RD,0.53,GRN,275.00,ER05300,,er05300.jpg,,,5.40|5.40|3.10,,,Emerald. Round. Green 5.4MM,O,,
,EM,CU,0.53,GRN,950.00,EC05300,,ec05300.jpg,,,5.30|5.30|3.00,,,Emerald. Cushion. Green 5.3X5.3,O,,
,RU,PS,1.08,RED,450.00,XRP6044,,XRP6044.jpg,,,6.00|4.20|2.90,,,Ruby. PS. Red 6.0X4.2,H,,
,EM,EC,0.55,GRN,900.00,EE05500,,ee05500.jpg,,,6.00|4.10|2.90,,,Emerald. EC. Green 6.0X4.1,O,,
,RU,RD,1.10,RED,500.00,XRR1100,,XRR1100.jpg,,,4.60|4.60|2.90,,,Ruby. Round. Red 4.6MM,H,,
,RU,RD,1.11,RED,525.00,XRR4702,,XRR4702.jpg,,,4.70|4.70,,,RD Ruby Pair Gem. 4.7,H,,xrr4702
,YS,RD,0.56,Yellow,250.00,YR0560,,YR0560.jpg,,,5.30|5.30|2.20,,,RD Y. Sapphire Gem 5.3MM,E,,yxl1000
,EM,EC,0.56,GRN,850.00,EE05600,,ee05600.png,,,5.90|4.60|3.00,,,Emerald. EC. Green 5.9X4.6,O,,
,EM,OV,0.57,GRN,900.00,EV05700,,ev05700.jpg,,,6.80|4.80|3.00,,,Emerald. Oval. Green 6.8X4.8,O,,
,RU,RD,1.13,RED,600.00,XRR1130,,XRR1130.jpg,,,4.80|4.80|3.00,,,Ruby. Round. Red 4.8MM,H,,
,RU,RD,1.15,RED,650.00,XRR4704,,XRR4704.jpg,,,4.70|4.70,,,RD Ruby Pair Gem. 4.7,H,,xrr4704
,EM,RD,0.58,GRN,750.00,ER0580,,ER0580.jpg,,,5.70|5.70|3.10,,,RD Emerald Gem 5.70,O,,er0580
,RU,EC,0.58,RED,675.00,RE0580,,RE0580.jpg,,,5.90|4.00|2.30,,,EC Ruby Gem 5.9x4.0,H,,rxl1002
