Vendor SKU,Category,Center Stone Type,Center Stone Shape,Center Stone Color,# of Center Stones,Center Stone Measurements,Center Stone Weight,Total Diamond Weight,# of side Diamonds,Color of Side diamonds,Clarity of Side diamonds,# of Pave Diamonds,Color of Pave diamonds,Clarity of Pave Diamonds,Metal,Ring Size,Item Name,R2Net Cost,Suggested Retail,Shank Width in MM,Shank Height,Image Name,Long Description
RZMIXEM1,RG,Emerald,,Green,0,,0.00,0.00,0,,,0,,,,,,0.00,0.00,0.00,0.00,emerald_rings.jpg,EMERALD RINGS
R2C15611AM,RG,Amethyst,Emerald Cut,Purple,1,,10.30,0.97,0,,SI1,72,GH,SI1,14K ROSE,4 3/4,"""Alice""Ring",3500.00,7000.00,3.00,6.00,R2C15611AM.jpg,Amethyst 10.30ct. Dia 0.97ct 14KR
B431E10,TNSB,Emerald,Oval,Green,25,,3.64,0.42,0,,SI1,25,GH,SI1,14KTT,,,1995.00,3990.00,0.00,0.00,B431E.jpg,EME 3.64. D.42
B4321E47,TNSB,Emerald,Oval,Green,29,,4.59,0.70,0,,SI1,58,GH,SI1,14KTT,,,3000.00,6000.00,0.00,0.00,B4321E47.jpg,Eme 29/4.59ct. Dia 0.70ct. 14KTT
B4338S1,TNSB,Sapphire,Oval,Blue,12,,3.30,0.68,0,,SI1,24,GH,SI1,14KW,,,1495.00,2990.00,0.00,0.00,B4338S.JPG,SA 3.30. D.68. 14KW
GCP1253,ERNG,Blue Zircon,Oval,Blue,2,,12.52,0.92,0,,SI1,72,GH,SI1,14KW,,,5000.00,10000.00,0.00,0.00,GCP1253.jpg,B.ZIRC 12.52.P.TRM.94.D.92.14KW
B431S49,TNSB,Sapphire,Oval,Blue,25,,5.93,0.40,0,,SI1,25,GH,SI1,14KW,,,1800.00,3600.00,0.00,0.00,B431S.jpg,SA 5.93. D.40. 14KW
B431S46,TNSB,Sapphire,Oval,Blue,25,,5.84,0.43,0,,,25,,,14KW,,,1800.00,3600.00,0.00,0.00,B431S.jpg,SA 5.84. D.43. 14KW
GMG1157,ERNG,Morganite,PS,,2,,11.57,4.20,0,,SI1,358,GH,SI1,18KP,,,10750.00,21500.00,0.00,0.00,gmg1157.jpg,MORGANITE 2/11.57CT. DIA RD. 358/4.20CT. 18P
BCR2,TNSB,Multi Color,MIX,Nulti,17,,22.64,1.74,0,,,17,,,18KTT,,,12000.00,24000.00,0.00,0.00,BCR2.JPG,RB SAP 22.64 DIA 1.74. 2T18K
PPS3R,PDT,Sapphire,Oval,Blue,41,,6.39,0.41,0,SI1,SI1,46,GH,SI1,18KTT,,,1850.00,3700.00,0.00,0.00,pps3r.JPG,18K Two Tone Micro Pave Pendant 5.09ct Oval Blue Sapphire. 1.30ct Round Pink Sapphire D.41
BPC9366,TNSB,Sapphire,Round,Blue,19,,8.50,2.00,0,,SI1,76,GH,SI1,18KTT,,,4750.00,9500.00,0.00,0.00,BPC9366.jpg,Sapphire 8.50ct. Diamond 2.00ct. 18KTT
GPS3R,ERNG,Sapphire,MIX,Nulti,82,,9.31,0.76,0,SI1,SI1,92,GH,SI1,18KTT,,,3500.00,7000.00,0.00,0.00,gps3r.JPG,18K Two Tone Micro Pave Earring  7.00ct Oval Blue Sapphire. 2.31ct Round Pink Sapphire D.76
B1159R5,TNSB,Ruby,Square,Red,48,,4.75,1.55,0,,,135,,,18KTT,,,5500.00,11000.00,0.00,0.00,B1159R.JPG,RUBY 4.75. DIA 1.55. 2T18K
GCC65E,ERNG,Emerald,Round,Green,2,6.5,2.11,0.70,0,SI1,SI1,114,GH,SI1,18KTT,,,3250.00,6500.00,0.00,0.00,GCC65E.JPG,18K Two Tone Micro Pave Earring 2.11ct Round Emerald D.70
B43XM22,TNSB,Multi Color,Oval,Nulti,27,,5.65,1.91,0,,,135,,,18KTT,,,4000.00,8000.00,0.00,0.00,B43XM.JPG,RB SAP 5.65. D 1.91. 2T18K
B54XE21,TNSB,Emerald,Oval,Green,21,,6.57,2.01,0,,SI1,105,GH,SI1,18KTT,,,6750.00,13500.00,0.00,0.00,B54XE.jpg,EME 6.57.D2.01. 18KTT
PF175E65,PDT,Emerald,Oval,Green,1,7x5,0.65,0.35,0,SI1,SI1,61,GH,SI1,18KTT,,,1400.00,2800.00,0.00,0.00,PF175E.JPG,18K Two Tone Gold Fraim Micro Pave Pendant 0.65ct Oval Emerald D.35
RHF659,RG,Tanzanite,Cushion,Purple,1,10.6x10.5,6.59,1.02,2,SI1,SI1,24,GH,SI1,18KTT,6.5,"""Hebe"" Ring",7250.00,14500.00,2.60,1.80,RHF659.JPG,18K Two Tone Three Stone Halo Ring 6.59ct Cushion Tanzanite HM.53 D.49
R2WF1394,RG,Tanzanite,Oval,Purple,1,13.1x9.4,5.37,0.82,2,SI1,SI1,98,GH,SI1,18KTT,6.5,"""Camilla" Ring",4750.00,9500.00,2.90,1.80,R2WF1394.JPG,18K Two Tone Three Stone Double Halo Ring 5.37ct Oval Tanzanite HM.32 RD.50
RCY55,RG,Emerald,Round,Green,1,,0.60,0.44,0,,SI1,38,GH,SI1,18KTT,6.5,,1650.00,3300.00,0.00,0.00,rcy55.jpg,EMERALD 0.60CT. DIA 0.44CT. 18KTT
BPC7683,TNSB,Sapphire,Square,Blue,0,,4.30,0.62,0,,SI1,50,GH,SI1,18KTT,,,4250.00,8500.00,0.00,0.00,BPC7683.jpg,Sapphire 4.30ct. Dia 50/0.62 18K TT
