Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Width;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
50477-E;50477-E;14k White Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;14k White Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold;Overnight;Three-stone;Modern;;40;0.75 ctw;G-H;SI1-SI2;3050;;;;
50477-E;50477-E;14k Yellow Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;14k Yellow Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold;Overnight;Three-stone;Modern;;40;0.75 ctw;G-H;SI1-SI2;3050;;;;
50477-E;50477-E;14k Rose Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;14k Rose Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Rose Gold;Overnight;Three-stone;Modern;;40;0.75 ctw;G-H;SI1-SI2;3050;;;;
50477-E;50477-E;18k White Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;18k White Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k White Gold;Overnight;Three-stone;Modern;;40;0.75 ctw;G-H;SI1-SI2;3350;;;;
50477-E;50477-E;18k Yellow Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;18k Yellow Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Yellow Gold;Overnight;Three-stone;Modern;;40;0.75 ctw;G-H;SI1-SI2;3350;;;;
50477-E;50477-E;18k Rose Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;18k Rose Gold Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;18k Rose Gold;Overnight;Three-stone;Modern;;40;0.75 ctw;G-H;SI1-SI2;3350;;;;
50477-E;50477-E;Platinum Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;Platinum Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Platinum;Overnight;Three-stone;Modern;;40;0.75 ctw;G-H;SI1-SI2;3995;;;;
50477-E;50477-E;Palladium Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;Palladium Three Stone Diamond Engagement Ring;This modern style three stone diamond engagement ring features flowing lines with pave set diamonds flowing halfway down the band to showcase the center stone of your choice with exceptional beauty. Crafted with pride in USA.;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;Palladium;Overnight;Three-stone;Modern;;40;0.75 ctw;G-H;SI1-SI2;2950;;;;
50573-E;50573-E;14k White Gold Classic Three Stone Diamond Engagement Ring;Elegant and classic, this three stone diamond engagement ring will showcase the center stone of your choice immaculately. Crafted with pride in USA.  ;14k White Gold Classic Three Stone Diamond Engagement Ring;Elegant and classic, this three stone diamond engagement ring will showcase the center stone of your choice immaculately. Crafted with pride in USA.  ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k White Gold;Overnight;Three-stone;;;4;0.38 ctw;G-H;SI1-SI2;2050;;;;
50573-E;50573-E;14k Yellow Gold Classic Three Stone Diamond Engagement Ring;Elegant and classic, this three stone diamond engagement ring will showcase the center stone of your choice immaculately. Crafted with pride in USA.  ;14k Yellow Gold Classic Three Stone Diamond Engagement Ring;Elegant and classic, this three stone diamond engagement ring will showcase the center stone of your choice immaculately. Crafted with pride in USA.  ;diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA,AGS,IGI,cut,clarity,color,carat,settings,engaged;;;14k Yellow Gold;Overnight;Three-stone;;;4;0.38 ctw;G-H;SI1-SI2;2050;;;;
